Sequence_Header,Bin_Assignment_1,Bin_Assignment_2,Vote_Count,Total_Votes
UniRef100_A0A3M7PPG1,2,14,9,368
UniRef100_A0A1G0K3B7,2,12,13,368
UniRef100_A0A0Q7LGB6,2,15,12,368
UniRef100_A0A2I0XEW6,6,6,7,368
UniRef100_A0A2G8L0B6,6,8,6,368
UniRef100_A0A5B6ZRG0,3,9,6,368
UniRef100_A0A5C3E8Z0,2,13,8,368
UniRef100_A0A448PD29,16,8,11,368
UniRef100_UPI000DCA1B80,6,6,8,368
UniRef100_A0A024TCC3,3,10,8,368
UniRef100_A1D4S2,6,14,13,368
UniRef100_A0BHD8,6,8,8,368
UniRef100_A0A0F4Z412,10,7,8,368
UniRef100_A0A5H2ZJS5,4,17,12,368
UniRef100_A0A451DHN6,18,13,10,368
UniRef100_A0A1E4SP53,7,11,7,368
UniRef100_A0A314XRC7,9,7,8,368
UniRef100_A0A0P0Z2C6,5,14,9,368
UniRef100_A0A421FIS7,13,4,9,368
UniRef100_B8CBJ0,4,10,8,368
UniRef100_A0A1W9ID75,2,13,11,368
UniRef100_C1FGT9,3,16,10,368
UniRef100_A0A2V7K5Z0,4,14,7,368
UniRef100_D8PTC3,7,9,9,368
UniRef100_A0A1I8H436,5,7,9,368
UniRef100_A0A1G1DR22,8,9,7,368
UniRef100_A0A1Y2BVC0,4,9,7,368
UniRef100_A0A2C9WH08,5,8,8,368
UniRef100_A0A1Q8QB86,4,9,7,368
UniRef100_A0A4Y7TQA5,13,4,8,368
UniRef100_A0A3P6G356,7,7,8,368
UniRef100_A0A0F9JPY0,8,7,11,368
UniRef100_A0A385TLX8,3,18,11,368
UniRef100_A0A1C3KPC5,7,9,7,368
UniRef100_A0A1F6BV39,14,7,8,368
UniRef100_UPI0012380328,2,10,9,368
UniRef100_A0A086MH68,4,17,8,368
UniRef100_A0A1A8GSK3,6,4,7,368
UniRef100_A0A1F6SMX0,4,11,8,368
UniRef100_UPI000813727F,15,5,8,368
UniRef100_A0A0V0R8T9,3,18,8,368
UniRef100_A0A3P8VDB6,5,16,12,368
UniRef100_A0A2G2XI88,3,7,7,368
UniRef100_A0A523KDI9,3,11,14,368
UniRef100_S7ZH99,3,16,9,368
UniRef100_A0A382KGZ1,3,16,11,368
UniRef100_A0A1G1X7M8,8,11,7,368
UniRef100_A0EH72,18,9,12,368
UniRef100_A0A087H690,6,8,8,368
UniRef100_UPI000C1D7FB5,7,13,9,368
UniRef100_A0A428YUG3,11,7,8,368
UniRef100_UPI0007714344,9,7,8,368
UniRef100_A0A1D6RP90,8,10,7,368
UniRef100_A0A1Q7B359,8,5,7,368
UniRef100_A0A5N4EEZ3,4,13,7,368
UniRef100_M0ISQ8,6,12,7,368
UniRef100_A0A0P7BSE4,5,15,9,368
UniRef100_A0A1H3KT79,8,11,9,368
UniRef100_A0A3N4LGM5,6,12,8,368
UniRef100_A0A5N6RY10,7,6,7,368
UniRef100_UPI0003752978,4,12,11,368
UniRef100_G0R026,11,4,7,368
UniRef100_A0A4R2ESW1,4,12,7,368
UniRef100_A0A2U1N8P5,4,15,7,368
UniRef100_A0A0G4G2J1,5,11,9,368
UniRef100_UPI0003C8C967,6,9,7,368
UniRef100_A0A1E4ZH27,17,8,9,368
UniRef100_A0A2D4SJ19,7,13,9,368
UniRef100_A0A4Y1R183,4,16,10,368
UniRef100_A0A554MPE8,4,10,6,368
UniRef100_L1LFI0,3,7,8,368
UniRef100_A0A250XA18,6,10,9,368
UniRef100_A0A1A6ACC6,4,17,10,368
UniRef100_A0A3C1EL04,5,7,8,368
UniRef100_A0A1A8AEF5,12,7,8,368
UniRef100_A0A1L8F6A8,3,13,8,368
UniRef100_A0A3M7T049,11,5,9,368
UniRef100_A0A2R6IQZ6,5,12,9,368
UniRef100_A0A5A9P6U3,5,8,9,368
UniRef100_UPI00052EE90D,3,15,10,368
UniRef100_A0A1F8B289,18,11,10,368
UniRef100_T0NRK5,6,10,9,368
UniRef100_A0A5J4WZN1,4,14,9,368
UniRef100_A0A4U6RIQ0,4,18,10,368
UniRef100_A0A1D3CZR4,8,8,9,368
UniRef100_E2B0X7,5,8,7,368
UniRef100_A0A1G2CKX3,17,8,7,368
UniRef100_G0QSR6,3,9,8,368
UniRef100_A0A523SPB7,6,8,7,368
UniRef100_Q24HG7,5,15,8,368
UniRef100_A0A2P4X930,3,16,12,368
UniRef100_A0A2K3QGK6,3,17,8,368
UniRef100_UPI000C1D15E2,5,7,7,368
UniRef100_A0A355M3I9,2,18,8,368
UniRef100_A0A2M6Z2Y3,12,6,9,368
UniRef100_A0A067LFU3,6,12,9,368
UniRef100_A0A2T6E2G1,8,10,9,368
UniRef100_A0A059LN83,13,7,10,368
UniRef100_A0A496QG42,7,6,8,368
UniRef100_G3NRZ3,7,12,7,368
UniRef100_A0A343TKV9,5,8,7,368
UniRef100_A0A2D8UYK5,4,14,7,368
UniRef100_A0A250WVV2,5,8,7,368
UniRef100_Q6NUY0,15,6,8,368
UniRef100_UPI0003FB61F9,2,12,10,368
UniRef100_UPI000788AAD6,17,7,9,368
UniRef100_A0A350IG50,11,4,8,368
UniRef100_A0A523PJ88,5,15,10,368
UniRef100_R8BMZ2,10,8,9,368
UniRef100_A0A094ZTQ4,6,6,9,368
UniRef100_A0A1Y1I7I1,14,4,8,368
UniRef100_A0A1F6BL99,5,12,9,368
UniRef100_A0A2T9ZY03,5,14,11,368
UniRef100_A0A4Z2CLZ0,6,13,9,368
UniRef100_A0A261Y0S8,8,7,7,368
UniRef100_A0A1R2CMB1,9,4,8,368
UniRef100_A0A2V1B0R0,5,11,6,368
UniRef100_A0A0D0QNV8,12,3,7,368
UniRef100_A0A433PKX4,5,10,10,368
UniRef100_A0A2A5G2V1,15,6,12,368
UniRef100_A0A2V1EBX9,7,13,12,368
UniRef100_G0UVP1,11,4,9,368
UniRef100_A0A0G4IIK8,3,17,8,368
UniRef100_UPI0012488564,6,9,7,368
UniRef100_A0A5D2ICC2,4,13,7,368
UniRef100_A0A0Q9IZT8,7,7,7,368
UniRef100_A0A4U0VGI7,2,13,7,368
UniRef100_UPI000F8F247D,2,16,11,368
UniRef100_A0A158QSG3,4,12,7,368
UniRef100_A0A3L6L5Z9,5,7,8,368
UniRef100_A0A095A3A6,4,13,9,368
UniRef100_UPI000E5D78CF,4,9,10,368
UniRef100_A0A0G0ZS78,4,12,7,368
UniRef100_UPI000642F601,3,13,8,368
UniRef100_Q4N4F0,5,16,9,368
UniRef100_A0A349J8D9,6,13,9,368
UniRef100_A0A2E9CBJ5,15,7,7,368
UniRef100_A0A5J4XCC4,10,7,8,368
UniRef100_UPI0010FBA024,5,11,7,368
UniRef100_A0A1G2ED60,6,15,8,368
UniRef100_UPI000CE22AB0,3,18,6,368
UniRef100_UPI00053C232C,13,4,8,368
UniRef100_A0A0J9X5B6,6,13,9,368
UniRef100_A0A0U3NQF8,7,10,9,368
UniRef100_A0A1G2CN93,18,12,8,368
UniRef100_A0A1F8DRX3,14,8,9,368
UniRef100_A0A2U3Q028,3,17,11,368
UniRef100_A0A1D3KXU5,5,14,7,368
UniRef100_A0A0M0BTP2,5,14,7,368
UniRef100_A0A0C2NFP4,18,9,9,368
UniRef100_UPI0012DDB2C0,5,7,8,368
UniRef100_UPI000CE1C603,14,6,10,368
UniRef100_UPI000D18458C,4,13,8,368
UniRef100_A0A2V9BAW7,4,9,7,368
UniRef100_A0A4Z1Q491,3,11,8,368
UniRef100_A0A2N5YQN7,18,11,16,368
UniRef100_UPI000B4250B7,4,10,8,368
UniRef100_A0A0C3SDB1,11,5,8,368
UniRef100_A0A2R6I348,6,11,7,368
UniRef100_V9R9L8,3,14,7,368
UniRef100_C1E4K5,5,8,11,368
UniRef100_A0A226NP24,4,17,8,368
UniRef100_A0A0F9YT38,11,7,8,368
UniRef100_A0A022Q6G9,12,6,8,368
UniRef100_UPI0006710BF4,2,14,9,368
UniRef100_G1SRP5,9,6,8,368
UniRef100_UPI000225BC88,18,9,9,368
UniRef100_Q2IXN9,7,12,7,368
UniRef100_A0A4R7ML37,16,8,8,368
UniRef100_A0A328DN76,4,9,8,368
UniRef100_K2NQ61,16,9,9,368
UniRef100_A0A2V9HWA2,10,9,7,368
UniRef100_A0A1Q7AGF7,15,5,9,368
UniRef100_A7TH07,10,6,8,368
UniRef100_UPI00037C6AB1,3,11,6,368
UniRef100_G9PH32,14,7,9,368
UniRef100_A0A2E7VIB3,5,16,9,368
UniRef100_UPI0009B30132,7,12,8,368
UniRef100_UPI0004F4749E,4,6,9,368
UniRef100_D8TAU4,3,9,7,368
UniRef100_UPI000CE2493C,7,13,10,368
UniRef100_UPI000A28926A,2,12,10,368
UniRef100_A0A1D1Z8A8,7,7,10,368
UniRef100_UPI0011557C92,5,12,7,368
UniRef100_A0A1G4JIX1,9,6,7,368
UniRef100_A0A3D3VWG7,3,10,8,368
UniRef100_UPI0006D90714,13,6,7,368
UniRef100_A0A2M8F3A2,7,7,8,368
UniRef100_A0A3R7XXR3,7,6,8,368
UniRef100_A0A422N2N1,2,18,12,368
UniRef100_B4LDS9,5,16,7,368
UniRef100_A0A3B1AT43,8,10,9,368
UniRef100_D0P2Z9,3,15,9,368
UniRef100_UPI000420B9F6,4,13,8,368
UniRef100_A0A0J9TH38,5,11,9,368
UniRef100_B9XQD4,12,8,8,368
UniRef100_A0A2R6MFM6,3,12,9,368
UniRef100_A0A2S5R8J6,3,14,7,368
UniRef100_A0A0G7ZMR6,4,13,6,368
UniRef100_A0A4D9AN90,17,8,8,368
UniRef100_A0A2P6VJW9,11,8,8,368
UniRef100_F2U9P5,14,5,9,368
UniRef100_A0A090M851,16,7,10,368
UniRef100_UPI000523253C,3,15,10,368
UniRef100_A0A1Q9CGE4,15,6,9,368
UniRef100_A0A4Y9ZR68,5,11,7,368
UniRef100_A0A194S561,3,9,8,368
UniRef100_A0A0G1T1D2,5,6,7,368
UniRef100_UPI000CE22613,9,8,8,368
UniRef100_UPI0003F0CCD3,7,6,9,368
UniRef100_A0A2H0KEY1,8,6,9,368
UniRef100_A0A3Q1C4U5,4,10,8,368
UniRef100_K2G3Q7,5,11,8,368
UniRef100_A0A1X1BPL5,3,10,7,368
UniRef100_A0A0L8FTX6,3,17,9,368
UniRef100_UPI0007B99037,4,8,8,368
UniRef100_A0A0G0Q5H6,9,5,7,368
UniRef100_A0A2J0MMA2,5,13,10,368
UniRef100_A0A2R6FQX9,13,7,8,368
UniRef100_A0A1F8G145,6,13,7,368
UniRef100_A0A2P6SJQ6,4,15,8,368
UniRef100_A0A1F3SIC0,3,16,12,368
UniRef100_UPI000C6CA97F,7,6,8,368
UniRef100_A0A1D1VXQ2,4,11,9,368
UniRef100_U5NFQ5,18,11,9,368
UniRef100_A0A0W1R7R8,4,10,8,368
UniRef100_A4S2N7,8,10,9,368
UniRef100_A0A3P8Z0I7,6,6,6,368
UniRef100_A0A5C6C7G7,9,9,13,368
UniRef100_UPI00105AE944,5,14,11,368
UniRef100_A0A2D6EYE9,18,12,10,368
UniRef100_UPI000E3E68A2,4,16,11,368
UniRef100_A0A1B7NMF3,6,8,8,368
UniRef100_A0A162TL90,3,15,8,368
UniRef100_UPI000D09DBBC,4,7,9,368
UniRef100_A0A2G9GVS8,5,11,7,368
UniRef100_A0A2D7M700,3,12,8,368
UniRef100_A0A1F7V7R0,5,15,11,368
UniRef100_A0A3C0BCQ1,4,14,10,368
UniRef100_A0A1J3E820,8,7,8,368
UniRef100_A0A0W4ZCU1,5,6,10,368
UniRef100_A0A2Z5T8Y0,2,14,10,368
UniRef100_A0A5C6UU31,15,6,10,368
UniRef100_L8HC98,18,13,9,368
UniRef100_Q211G9,3,18,8,368
UniRef100_UPI0011C15F2B,7,4,11,368
UniRef100_UPI0005227668,6,6,11,368
UniRef100_A0A0G1YVC5,14,7,7,368
UniRef100_UPI00098E49CF,6,8,7,368
UniRef100_A0A0G1QIX5,4,13,8,368
UniRef100_A0A0A1TBD2,7,11,7,368
UniRef100_A0A139SRL0,7,12,8,368
UniRef100_I0YU34,6,15,8,368
UniRef100_Q22AX1,7,11,9,368
UniRef100_A0A061IS01,3,11,8,368
UniRef100_I1N7N9,4,7,8,368
UniRef100_UPI00109FF895,7,9,11,368
UniRef100_A0A067L3F6,10,6,11,368
UniRef100_F7PKQ9,3,11,8,368
UniRef100_UPI00057A94CD,7,9,8,368
UniRef100_UPI0005D4520F,4,11,6,368
UniRef100_A0A0D8BCS1,4,17,9,368
UniRef100_UPI000CCD6F77,3,12,9,368
UniRef100_A0A369SCW0,6,14,9,368
UniRef100_UPI00046D9095,18,9,8,368
UniRef100_A0A2D6E3A8,6,5,10,368
UniRef100_A0A4P9ZDK3,7,8,8,368
UniRef100_A0A1J1GLY2,8,12,7,368
UniRef100_A0A521ZPC1,8,4,8,368
UniRef100_A0A059A7N9,5,10,8,368
UniRef100_UPI00053C334E,5,8,6,368
UniRef100_A0A554LHC7,5,14,13,368
UniRef100_A0A0G0DIK9,4,16,10,368
UniRef100_A0A1F5SW59,13,4,7,368
UniRef100_UPI000C2048D2,4,14,8,368
UniRef100_U5DC05,6,10,6,368
UniRef100_A0A451D747,5,13,9,368
UniRef100_A0A535XB99,11,7,10,368
UniRef100_UPI000579BD24,9,6,9,368
UniRef100_A0A2B7YRI9,16,7,8,368
UniRef100_UPI000333EE04,3,7,9,368
UniRef100_A0A2A4SWE4,3,11,7,368
UniRef100_A0A0A9M6C7,9,5,8,368
UniRef100_J7R8P6,9,5,8,368
UniRef100_UPI0009073497,13,7,8,368
UniRef100_UPI000E465E22,18,13,13,368
UniRef100_UPI0007E694B6,4,10,8,368
UniRef100_R7F1L4,4,7,7,368
UniRef100_A0A3Q4HJH4,7,7,8,368
UniRef100_A0A0W8D2Y1,12,4,9,368
UniRef100_UPI0003F91BEC,6,4,8,368
UniRef100_A0A1E4RYS9,12,5,8,368
UniRef100_A0A1Q7SVJ0,3,14,7,368
UniRef100_A0A0G0MPJ5,18,13,10,368
UniRef100_L1K0N8,6,11,8,368
UniRef100_A0A381N1B1,7,12,9,368
UniRef100_A0A1F5TM59,2,9,7,368
UniRef100_A0A1D8AVW8,14,7,11,368
UniRef100_A0A1L9P442,2,14,7,368
UniRef100_UPI000B932FFA,4,17,8,368
UniRef100_UPI0011CEF868,3,11,8,368
UniRef100_UPI000787DEAC,3,13,10,368
UniRef100_K7REM3,2,10,8,368
UniRef100_D5AAS0,6,5,8,368
UniRef100_A0A2A9M798,3,16,10,368
UniRef100_UPI00051C016C,5,12,8,368
UniRef100_A0A518EWB9,4,7,8,368
UniRef100_UPI0011135F45,16,7,8,368
UniRef100_A0A3A4JZ11,13,5,8,368
UniRef100_X2GHF3,8,7,8,368
UniRef100_UPI000718D4F4,3,11,7,368
UniRef100_E4NPF8,10,5,9,368
UniRef100_UPI00073D1EAF,3,14,8,368
UniRef100_K0S747,2,17,8,368
UniRef100_D0N5I4,18,11,10,368
UniRef100_B9SC22,3,11,7,368
UniRef100_A0A4S4D570,4,10,6,368
UniRef100_A0A3L6RMB0,14,5,8,368
UniRef100_K3WJG2,2,11,8,368
UniRef100_A0A5Q4E7S8,16,7,9,368
UniRef100_A0A1I8HGE6,7,12,9,368
UniRef100_A0A077AWD5,16,5,8,368
UniRef100_UPI0012F4C007,3,11,8,368
UniRef100_A0A371QBM7,5,11,7,368
UniRef100_A0A2D6WRF8,4,15,10,368
UniRef100_A0A2H6JB21,13,5,10,368
UniRef100_UPI00051C4749,9,4,8,368
UniRef100_W4KKK3,6,16,8,368
UniRef100_A2BFD3,2,12,9,368
UniRef100_H8YZE0,3,10,10,368
UniRef100_A0A1F8CR81,6,7,9,368
UniRef100_A0A2H9Q6A1,8,9,8,368
UniRef100_A0A409VCU2,7,11,10,368
UniRef100_A0A1G1L008,9,9,10,368
UniRef100_UPI0005F44012,6,6,9,368
UniRef100_A0A5C7HUP6,12,7,8,368
UniRef100_A0A2E5JYV3,17,9,8,368
UniRef100_V4A0F0,3,18,7,368
UniRef100_A0A0S4JIH6,5,9,8,368
UniRef100_A0A1Q6QV37,4,14,8,368
UniRef100_A0A077WIE1,13,4,9,368
UniRef100_UPI0004F427AC,10,9,8,368
UniRef100_A0A2H0BJL9,17,7,10,368
UniRef100_UPI00094EE70C,7,9,8,368
UniRef100_A0A1Y3BV85,2,10,7,368
UniRef100_A0A3A5WG58,4,15,6,368
UniRef100_V5DDU9,3,10,7,368
UniRef100_A0A2A4XEH5,3,17,8,368
UniRef100_A0A1G2QXI5,3,17,9,368
UniRef100_A0A554KN11,18,11,7,368
UniRef100_A0A437ACH3,9,5,8,368
UniRef100_A0A1Z4VNI2,5,16,11,368
UniRef100_G0SXY2,7,7,7,368
UniRef100_A0A507EMX3,4,17,6,368
UniRef100_A0A2T9XZH5,11,4,7,368
UniRef100_A0A1A9HWC4,4,11,7,368
UniRef100_A0A167SDF9,7,10,7,368
UniRef100_E1ZQS3,3,11,6,368
UniRef100_A0A1G2LQD2,5,14,9,368
UniRef100_I7MA87,6,8,12,368
UniRef100_A0A1B7SPW9,10,5,7,368
UniRef100_A0A2M9LUT5,6,16,9,368
UniRef100_A0A1F4PKR7,4,16,8,368
UniRef100_A0A2H3ZFC4,6,11,8,368
UniRef100_A0A1F3Q500,3,14,6,368
UniRef100_A0A1F6DYS1,6,10,8,368
UniRef100_A0A2C9ULQ3,6,12,8,368
UniRef100_A0A1F7FZP9,8,5,13,368
UniRef100_A0A5C8UD20,16,7,11,368
UniRef100_A0A2D5XDF2,11,6,8,368
UniRef100_A0A077TR18,18,12,10,368
UniRef100_A0A0C9S955,2,14,9,368
UniRef100_A0A287PVI0,4,12,9,368
UniRef100_A0A0W8C0N4,4,17,8,368
UniRef100_A0A3S3NZZ2,4,7,7,368
UniRef100_UPI000B3F4C90,13,3,8,368
UniRef100_UPI0011B5B516,8,7,8,368
UniRef100_A0A1B4XCU6,3,17,7,368
UniRef100_A0A1T2L8Y0,4,16,7,368
UniRef100_A0A2D6ML87,18,13,10,368
UniRef100_UPI000BBAD29F,12,6,8,368
UniRef100_A0A1V2LHY8,6,5,8,368
UniRef100_A5DM03,6,6,8,368
UniRef100_A0A0V0QTG0,8,7,7,368
UniRef100_A0A4U0W2G6,6,13,7,368
UniRef100_A0A2P6VK05,10,8,8,368
UniRef100_M1XLD6,3,12,13,368
UniRef100_C1MSE7,7,12,11,368
UniRef100_C3ZB60,4,11,10,368
UniRef100_A0A3M1FLD7,8,6,8,368
UniRef100_D7FRW9,18,10,9,368
UniRef100_A0A5E4EZ51,4,12,10,368
UniRef100_UPI00053F9FCE,3,16,8,368
UniRef100_UPI000EAB1294,5,9,8,368
UniRef100_V4TIU6,5,7,10,368
UniRef100_A0A0K8Q6C1,11,5,11,368
UniRef100_UPI0009F54B4F,6,7,8,368
UniRef100_A0A5C6FMZ5,4,18,8,368
UniRef100_A0A3N4HCK3,10,6,8,368
UniRef100_A0A2V9KPX6,14,7,8,368
UniRef100_K3WW11,2,15,8,368
UniRef100_UPI00098DAF80,4,11,7,368
UniRef100_UPI000E1DFAF0,3,17,9,368
UniRef100_A0A369JG27,4,15,7,368
UniRef100_B3M5I1,9,4,8,368
UniRef100_D2VJP7,6,16,9,368
UniRef100_A0A165Z1S0,9,8,7,368
UniRef100_UPI00125D9B6A,7,13,8,368
UniRef100_A0A2U3DYD1,6,10,7,368
UniRef100_C5M086,16,6,8,368
UniRef100_A0A0G0UJB8,6,6,7,368
UniRef100_A0A1G0JKX7,4,10,9,368
UniRef100_A0A430JTM0,8,10,10,368
UniRef100_A0A5N5JAF8,5,11,8,368
UniRef100_A0A267EIJ9,6,15,10,368
UniRef100_A0A0J6FJ39,5,9,9,368
UniRef100_U1GQ77,4,7,7,368
UniRef100_A0A427YAA1,4,16,9,368
UniRef100_UPI00078707D9,5,9,11,368
UniRef100_A0A4V2B782,3,14,10,368
UniRef100_A0A2H0P0U2,16,8,8,368
UniRef100_A0A1G2HGT3,5,14,9,368
UniRef100_A0A066VZZ4,7,9,8,368
UniRef100_A0A4S8LLG8,2,17,8,368
UniRef100_A0A1J4XC02,4,15,7,368
UniRef100_A0A090RD53,5,6,9,368
UniRef100_C4YAD9,5,16,9,368
UniRef100_A0A1E5R9X1,2,17,7,368
UniRef100_A0A539DAB9,4,7,7,368
UniRef100_A0A507CRK3,8,7,11,368
UniRef100_A0A2R6IS83,8,7,8,368
UniRef100_A0A2E4J4Y0,18,13,10,368
UniRef100_A0A2J0M2Q9,13,6,8,368
UniRef100_A0A3M9JRJ8,5,8,8,368
UniRef100_M0RF82,7,6,7,368
UniRef100_A0A1R0YPH4,15,4,7,368
UniRef100_F0WY73,5,10,9,368
UniRef100_A0A486XSA0,5,7,7,368
UniRef100_A0A0G1H899,11,7,9,368
UniRef100_A0A179GGJ5,6,13,8,368
UniRef100_A0A1F7Z1D5,3,12,8,368
UniRef100_A0A5C1WPQ0,17,7,8,368
UniRef100_A0A0M0JLU6,4,10,7,368
UniRef100_A0A2D8U8P4,4,15,7,368
UniRef100_A0A0D2JLT1,14,8,9,368
UniRef100_A0A1F4R581,18,11,12,368
UniRef100_A8NF79,8,8,7,368
UniRef100_A0A1I3YS82,5,15,7,368
UniRef100_A0A1S3Y0E5,4,13,9,368
UniRef100_A0A1I3LBJ3,4,12,8,368
UniRef100_G0QUR7,9,4,7,368
UniRef100_A0A0C3T128,17,8,9,368
UniRef100_A0A154PF56,2,12,8,368
UniRef100_A0A3S3MFM2,6,14,9,368
UniRef100_A0A0M0JU23,5,15,13,368
UniRef100_UPI000E6E41BF,4,10,11,368
UniRef100_A0A067TRQ0,4,16,8,368
UniRef100_A0A1X6P744,2,14,6,368
UniRef100_A0A5C9B6K3,3,13,7,368
UniRef100_A0A2E1KWB3,6,11,7,368
UniRef100_A0A1S3X8X6,4,11,9,368
UniRef100_A0A1L9SLB3,6,9,9,368
UniRef100_A0A420Z7D3,3,10,6,368
UniRef100_A0A0B1PEI1,5,15,9,368
UniRef100_A0A1M6CDL7,10,8,10,368
UniRef100_A0A160T558,18,8,8,368
UniRef100_A0A3N5L5I5,8,6,8,368
UniRef100_A0A4R7BTW7,7,13,9,368
UniRef100_A0A1G2RG81,6,11,8,368
UniRef100_A0A1E3QA13,7,7,8,368
UniRef100_UPI0010A50C35,4,10,9,368
UniRef100_A0A1G2C1B2,11,3,8,368
UniRef100_UPI0003BD6400,5,13,8,368
UniRef100_A0A3D6A8F0,13,6,8,368
UniRef100_K1VD50,4,14,7,368
UniRef100_A0A2E6XXK5,6,9,6,368
UniRef100_A0A1A9QD49,18,11,12,368
UniRef100_UPI0003B4EEA2,4,12,8,368
UniRef100_A0A0C6G4E4,12,6,7,368
UniRef100_A0A4Z1GT83,5,14,8,368
UniRef100_A0A088RNV3,8,7,8,368
UniRef100_A0A351HZU4,4,10,9,368
UniRef100_A0A2Z2HNC6,4,11,6,368
UniRef100_A0A1Q3CV71,10,6,10,368
UniRef100_A0A329SGM2,9,4,8,368
UniRef100_G0U784,6,8,9,368
UniRef100_UPI000E6B4DC2,7,9,8,368
UniRef100_UPI000C316E57,4,11,9,368
UniRef100_A0A1A9BDP2,2,12,11,368
UniRef100_A0A372ZVK7,8,8,7,368
UniRef100_K0RVU7,6,15,11,368
UniRef100_A0A2E2I9A5,2,13,7,368
UniRef100_A0A2P6V677,13,6,10,368
UniRef100_W0T7I7,4,13,8,368
UniRef100_UPI0012437B9F,3,9,7,368
UniRef100_W9SPM1,4,7,7,368
UniRef100_A0A1D3LDK6,3,18,10,368
UniRef100_A0A2C6C103,2,14,10,368
UniRef100_A0A2E7VFZ8,13,6,6,368
UniRef100_A0A0G0KLW5,5,12,10,368
UniRef100_A0A3B9YJY8,12,5,7,368
UniRef100_A0A3S8V3F4,4,16,10,368
UniRef100_UPI000C87813C,13,5,7,368
UniRef100_A0A2H0EDN1,14,5,10,368
UniRef100_A0A2E6YHB5,4,13,8,368
UniRef100_A0A0B2VKE4,4,16,11,368
UniRef100_UPI000C04E551,3,11,8,368
UniRef100_A0A286UWT0,11,6,8,368
UniRef100_A0A0L8GMG9,4,9,9,368
UniRef100_A0A139AJ53,4,16,10,368
UniRef100_A0A0C3DDT3,9,8,10,368
UniRef100_E9E2B9,5,10,7,368
UniRef100_A0A1R4AB74,6,9,10,368
UniRef100_V4XW10,6,11,9,368
UniRef100_A0A1A8VTC0,11,8,9,368
UniRef100_UPI000F4FCDEB,4,10,7,368
UniRef100_M2Y8C7,9,4,8,368
UniRef100_A0A2D6EQY7,5,10,8,368
UniRef100_A0A3S1A7J2,6,16,10,368
UniRef100_A0A2I0W4A2,4,10,9,368
UniRef100_A0A1F7XLS5,18,11,11,368
UniRef100_UPI001030932D,8,6,9,368
UniRef100_Q54CT8,3,18,12,368
UniRef100_UPI000FFD6653,5,6,10,368
UniRef100_UPI000B881363,8,7,8,368
UniRef100_A0A061JID2,5,15,12,368
UniRef100_UPI000819FD81,7,13,8,368
UniRef100_A0A169NC99,6,9,10,368
UniRef100_A0A0G1NVA4,6,8,8,368
UniRef100_A0A2R5GFH9,8,6,8,368
UniRef100_A0A2E5C2Q5,3,11,8,368
UniRef100_A0A411HFG2,4,16,7,368
UniRef100_UPI0012B43F32,3,12,7,368
UniRef100_A0A507FIE9,3,15,7,368
UniRef100_A0A4S2DC34,9,6,7,368
UniRef100_A0A1X0P8P5,3,8,10,368
UniRef100_UPI0005122834,3,16,8,368
UniRef100_A0A1G9TI15,9,6,10,368
UniRef100_A0A1F3KH70,16,7,9,368
UniRef100_UPI000348BE5F,10,6,9,368
UniRef100_UPI000479E15E,4,15,9,368
UniRef100_A0A0G4IBP4,3,15,10,368
UniRef100_A0A5C8VGQ2,17,10,9,368
UniRef100_UPI000490D7BC,2,13,14,368
UniRef100_U6GMF4,16,10,9,368
UniRef100_A0A1M2ZBU9,7,13,8,368
UniRef100_A0A5S4YTZ9,2,17,10,368
UniRef100_A0A0N8FT99,4,16,10,368
UniRef100_A0A4U5QZS9,7,10,7,368
UniRef100_F0WC21,4,11,11,368
UniRef100_A0A1A8WKG4,6,14,12,368
UniRef100_A0A445J541,5,5,7,368
UniRef100_A0A1Q5PJH7,11,7,14,368
UniRef100_A0A542XHI6,4,14,8,368
UniRef100_A0A1A9VJY4,15,5,7,368
UniRef100_S8CBY5,9,6,10,368
UniRef100_A0A2V0NRT6,7,7,6,368
UniRef100_A0A2I2UEP0,13,4,9,368
UniRef100_UPI000480279F,2,15,9,368
UniRef100_A0A077R2W5,11,8,7,368
UniRef100_A0A3C0QCU6,3,15,12,368
UniRef100_A0A5C5WHK8,8,9,12,368
UniRef100_UPI000C1D78FC,9,7,9,368
UniRef100_L8X4G0,17,8,11,368
UniRef100_A0A1Y1XZ44,18,11,10,368
UniRef100_UPI0011B462CA,11,7,8,368
UniRef100_A0A0G2AUZ5,6,6,10,368
UniRef100_A0A2E5UIN3,15,6,9,368
UniRef100_A0A200R691,4,11,9,368
UniRef100_A0A0D9VP39,6,8,8,368
UniRef100_F5XNL9,11,7,9,368
UniRef100_A0A0N1I248,6,8,9,368
UniRef100_A0A0C9N3I4,16,9,9,368
UniRef100_UPI0005CE6D47,6,12,7,368
UniRef100_A0A091VYH4,18,11,9,368
UniRef100_A0A063C6E6,18,11,12,368
UniRef100_UPI0010FCA98C,14,7,9,368
UniRef100_UPI0011D2ADC6,6,8,8,368
UniRef100_A0A2A2QUV2,15,8,10,368
UniRef100_A0A508TP14,3,13,8,368
UniRef100_UPI001176F550,9,4,8,368
UniRef100_A0A1E7FYE2,7,8,7,368
UniRef100_A0A4Q8R346,3,17,7,368
UniRef100_A0A448ZNY4,6,11,8,368
UniRef100_A0A3B5AH75,16,5,11,368
UniRef100_UPI00094062DD,7,13,10,368
UniRef100_A0A2T6D696,13,7,11,368
